Camara,Tipo_sensor,Identity_ID,Zona_name,Gender,Age,Action,Track_ID,Time,Event_Audit,Gender_Audit,Age_Audit,Observation_A,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Estanteria Principal,Female,0,Enter,877374b5-0fde-4992-a081-594e7e207b73,"Feb 24, 2026 11:12:36 PM",Bien,Bien,Mal,,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Estanteria Principal,Female,0,Exit,877374b5-0fde-4992-a081-594e7e207b73,"Feb 24, 2026 11:12:46 PM",Bien,Bien,Mal,,
3,Zona_permanencia,b7310384-2783-40f7-b77d-80962e0aa1a7,Caja,Female,0,Exit,fdf00053-cde0-47a8-916a-b0852269a6cb,"Feb 24, 2026 11:12:49 PM",Bien,Bien,Mal,,
3,Zona_permanencia,02b7ca0f-0610-4d3f-98ba-2dfe473e6dd4,Exploracion 2,Female,0,Enter,29a133f9-9400-424b-8e16-93cec163295e,"Feb 24, 2026 11:12:54 PM",Bien,Bien,Mal,,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Estanteria Principal,Female,0,Enter,877374b5-0fde-4992-a081-594e7e207b73,"Feb 24, 2026 11:12:54 PM",Bien,Bien,Mal,,
3,Zona_permanencia,02b7ca0f-0610-4d3f-98ba-2dfe473e6dd4,Exploracion 2,Female,0,Exit,29a133f9-9400-424b-8e16-93cec163295e,"Feb 24, 2026 11:13:09 PM",Bien,Bien,Mal,,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Estanteria Principal,Female,0,Exit,877374b5-0fde-4992-a081-594e7e207b73,"Feb 24, 2026 11:13:10 PM",Bien,Bien,Mal,,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Caja,Female,0,Enter,4b9d6fc4-7121-4344-ad72-09ee7baed1a5,"Feb 24, 2026 11:13:12 PM",Bien,Bien,Mal,,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Caja,Female,0,Exit,4b9d6fc4-7121-4344-ad72-09ee7baed1a5,"Feb 24, 2026 11:13:42 PM",Bien,Bien,Mal,,
3,Zona_permanencia,400981b3-6b8a-4003-80cb-f7f96a01018d,Estanteria Principal,Female,0,Enter,4b9d6fc4-7121-4344-ad72-09ee7baed1a5,"Feb 24, 2026 11:13:45 PM",Bien,Bien,Mal,,
